Title,Author1,Date,Publisher,DOI
BirdQuestVR: A Cross-Platform Asymmetric Communication Game,Michael Smilovitch,October 2019,CHI PLAY '19 Extended Abstracts: Extended Abstracts of the Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts,https://dl.acm.org/doi/10.1145/3341215.3358246
Vicarious: Context-aware Viewpoints Selection for Mixed Reality Collaboration,Faisal Zaman,October 2023,VRST '23: Proceedings of the 29th ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/3611659.3615709
"Virtual Games, Real Interactions: A Look at Cross-reality Asymmetrical Co-located Social Games",Alexandra Kitson,May 2024,CHI EA '24: Extended Abstracts of the 2024 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3613905.3650824
Cone of Vision as a Behavioural Cue for VR Collaboration,Riccardo Bovo,November 2022,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 6, Issue CSCW2",https://dl.acm.org/doi/10.1145/3555615
Transparent CPU-GPU collaboration for data-parallel kernels on heterogeneous systems,Janghaeng Lee,October 2013,PACT '13: Proceedings of the 22nd international conference on Parallel architectures and compilation techniques,https://dl.acm.org/doi/10.5555/2523721.2523756
SKMD,Janghaeng Lee,August 2015,"ACM Transactions on Computer Systems (TOCS), Volume 33, Issue 3",https://dl.acm.org/doi/10.1145/2798725
Role-based interfaces for collaborative software development,Max Goldman,October 2011,UIST '11 Adjunct: Proceedings of the 24th annual ACM symposium adjunct on User interface software and technology,https://dl.acm.org/doi/10.1145/2046396.2046410
Achieving Symmetry in Synchronous Interaction in Hybrid Work is Impossible,Pernille Bjørn,February 2024,"ACM Transactions on Computer-Human Interaction (TOCHI), Just Accepted ",https://dl.acm.org/doi/10.1145/3648617
A routing protocol for power constrained networks with asymmetric links,Guoqiang Wang,October 2004,"PE-WASUN '04: Proceedings of the 1st ACM international workshop on Performance evaluation of wireless ad hoc, sensor, and ubiquitous networks",https://dl.acm.org/doi/10.1145/1023756.1023770
Systems for Socially-Challenging Information Management,Soya Park,November 2022,CSCW'22 Companion: Companion Publication of the 2022 Conference on Computer Supported Cooperative Work and Social Computing,https://dl.acm.org/doi/10.1145/3500868.3561400
Asymmetric collaboration through tele-presence,Ashutosh Morde,October 2004,ETP '04: Proceedings of the 2004 ACM SIGMM workshop on Effective telepresence,https://dl.acm.org/doi/10.1145/1026776.1026793
Asymmetric device interaction with projector-camera systems,Baris Unver,Public Access,UbiComp '17: Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,https://dl.acm.org/doi/10.1145/3123024.3123192
Towards seamless interaction between physical and virtual locations for asymmetric collaboration,Damien Clergeaud,November 2017,VRST '17: Proceedings of the 23rd ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/3139131.3139165
When Cloud Meets Uncertain Crowd,Yifei Zhu,October 2017,MM '17: Proceedings of the 25th ACM international conference on Multimedia,https://dl.acm.org/doi/10.1145/3123266.3123384
"""Who's in charge here?"" communicating across unequal computer platforms",Maria Velez,December 2004,"ACM Transactions on Computer-Human Interaction (TOCHI), Volume 11, Issue 4",https://dl.acm.org/doi/10.1145/1035575.1035579
TeleSight,Taichi Furukawa,July 2019,SIGGRAPH '19: ACM SIGGRAPH 2019 Emerging Technologies,https://dl.acm.org/doi/10.1145/3305367.3335040
Cross-Reality Gaming: Comparing Competition and Collaboration in an Asymmetric Gaming Experience,Sungchul Jung,Open Access,VRST '23: Proceedings of the 29th ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/3611659.3615698
TransceiVR,Balasaravanan Thoravi Kumaravel,Open Access,UIST '20: Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3379337.3415827
A Composite Framework of Co-located Asymmetric Virtual Reality,Kaitlyn M. Ouverson,Open Access,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 5, Issue CSCW1",https://dl.acm.org/doi/10.1145/3449079
WebTransceiVR,Haohua Lyu,Open Access,CHI EA '22: Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3491101.3519816
